지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유,LPG
광주광역시,수완구도일주유소,광주 광산구 풍영로101번안길 19-2,S-OIL,010-4656-8465,Y,1845,1625,1485,-,-
광주광역시,반디석유 운남점 이든랜드㈜,광주 광산구 하남대로 364,HD현대오일뱅크,062-951-8301,N,1780,1625,1485,-,-
광주광역시,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),SK에너지,062-971-0344,Y,1825,1625,1485,-,-
광주광역시,흑석주유소,광주 광산구 사암로 415 (흑석동),GS칼텍스,062-953-8165,N,1845,1625,1485,1400,-
광주광역시,한성골드주유소,광주 광산구 동곡로 407 (월전동),GS칼텍스,062-944-9400,Y,-,1625,1479,1400,-
광주광역시,신창 구도일주유소,광주 광산구 북문대로 350,S-OIL,062-961-5188,Y,1825,1625,1485,1500,-
광주광역시,송정현대주유소,광주 광산구 송도로 104 (도산동),HD현대오일뱅크,062-945-5182,N,-,1626,1519,-,-
광주광역시,동곡농협주유소,광주 광산구 동곡로 383,SK에너지,062-943-7272,Y,-,1627,1477,1300,-
광주광역시,유한회사 우이리주유소,광주 광산구 임방울대로 13,HD현대오일뱅크,062-951-2511,Y,1847,1627,1487,-,-
광주광역시,낙원주유소,광주 광산구 동곡로 259 (복룡동),GS칼텍스,062-943-5155,Y,-,1627,1477,-,-
광주광역시,삼도주유소,광주 광산구 삼도로 327,SK에너지,062-944-2153,N,-,1629,1489,1300,-
광주광역시,빛그린주유소,광주 광산구 영광로 3797,SK에너지,062-942-5104,N,-,1629,1489,1300,-
광주광역시,웰컴신가주유소,광주 광산구 목련로 375 (신가동),GS칼텍스,062-959-6800,Y,1785,1629,1485,-,-
광주광역시,한진주유소,광주 광산구 송도로 244 (송정동),알뜰주유소,062-941-2567,Y,-,1629,1479,-,-
광주광역시,SK시민주유소,광주 광산구 고봉로 249 (장수동),SK에너지,062-956-5185,Y,-,1629,1489,1350,-
광주광역시,에스주유소,광주 광산구 노안삼도로 983,SK에너지,062-943-6651,N,-,1629,1519,-,-
광주광역시,천우주유소,광주 광산구 어등대로 50 (지평동),SK에너지,062-942-1010,Y,-,1629,1489,-,-
광주광역시,㈜성후산업 장수IC주유소,광주 광산구 고봉로 238,HD현대오일뱅크,062-955-2225,Y,-,1629,1479,-,-
광주광역시,다올주유소,광주 광산구 북문대로 393,HD현대오일뱅크,062-955-5132,Y,-,1630,1490,1500,-
광주광역시,평동천우주유소,광주 광산구 동곡로 655 (송촌동),SK에너지,062-946-5182,Y,-,1632,1487,-,-
광주광역시,광주비아농협주유소,광주 광산구 임방울대로 600 (도천동),SK에너지,062-951-5182,Y,-,1634,1487,1300,-
광주광역시,광주비아농협남부점주유소,광주 광산구 목련로 301 (신가동),SK에너지,062-952-5180,Y,-,1634,1487,-,-
광주광역시,농협하나로주유소,광주 광산구 임방울대로 261 (신가동),NH-OIL,062-650-0052,Y,-,1634,1485,-,-
광주광역시,(유)학곡 수완현대주유소,광주 광산구 임방울대로 472 (수완동),HD현대오일뱅크,062-955-0051,Y,-,1634,1519,-,-
광주광역시,우리주유소,광주 광산구 목련로 225 (운남동),알뜰주유소,062-956-5171,Y,-,1635,1483,-,-
광주광역시,호대아름주유소,광주 광산구 어등대로 473,HD현대오일뱅크,062-942-5183,Y,-,1635,1489,1350,-
광주광역시,(유)모우리주유소,광주 광산구 소촌로 68 (소촌동),알뜰주유소,062-944-9553,Y,-,1635,1483,-,-
광주광역시,수완행복셀프주유소,광주 광산구 왕버들로 113,SK에너지,062-954-5185,Y,1824,1635,1487,-,-
광주광역시,순양주유소,광주 광산구 어등대로 667,S-OIL,062-941-5121,Y,-,1638,1498,-,-
광주광역시,천지주유소,광주 광산구 영광로 3270  (삼거동),SK에너지,062-944-4488,N,-,1639,1559,1250,-
광주광역시,임곡농협주유소,광주 광산구 고봉로 565 (산막동),NH-OIL,062-952-5182,Y,-,1639,1499,1300,-
광주광역시,(주)스마일셀프주유소,광주 광산구 고봉로 541 (산막동),SK에너지,062-716-5182,Y,-,1639,1499,-,-
광주광역시,신촌주유소,광주 광산구 사암로 63 (신촌동),S-OIL,062-942-6166,N,-,1639,1519,1450,-
광주광역시,선운주유소,광주 광산구 동곡로 606 (장록동),S-OIL,062-945-5180,N,-,1639,1499,-,-
광주광역시,신삼성로주유소,광주 광산구 사암로 708,GS칼텍스,062-955-2033,Y,-,1639,1495,-,-
광주광역시,마트몰(주)송헌지점,광주 광산구 사암로 104 (우산동),SK에너지,062-945-3700,N,1839,1639,1457,-,-
광주광역시,남선석유(주) 임방울셀프주유소,광주 광산구 임방울대로 14,S-OIL,062-955-9156,Y,-,1645,1487,-,-
광주광역시,(주)햇살가득주유소,광주 광산구 임방울대로 493 (수완동),S-OIL,062-959-4848,Y,-,1645,1524,-,-
광주광역시,진곡산단주유소,"광주 광산구 임곡로 516,  (진곡동)",S-OIL,062-951-9366,N,-,1649,1499,-,-
광주광역시,우공주유소,광주 광산구 영광로 3492,HD현대오일뱅크,062-943-5125,N,-,1649,1509,1600,-
광주광역시,유한회사 금성주유소,광주 광산구 임곡로 685 (안청동),GS칼텍스,062-952-3030,N,-,1649,1519,1450,-
광주광역시,현대이엔티㈜ 두바이주유소,광주 광산구 노안삼도로 1353,GS칼텍스,062-433-8889,Y,-,1649,1509,-,-
광주광역시,지에스칼텍스(주)수완셀프주유소,광주 광산구 장신로 152 (수완동),GS칼텍스,062-961-5187,Y,1869,1649,1577,-,-
광주광역시,금성2주유소,광주 광산구 첨단과기로 33,GS칼텍스,062-953-5189,Y,1919,1649,1499,-,-
광주광역시,대천유통㈜ 진곡화물차주유소,광주 광산구 손재로 327,S-OIL,062-953-0357,N,-,1650,1499,-,-
광주광역시,남선석유(주) 평동그린주유소,광주 광산구 동곡로 645,S-OIL,062-945-5121,Y,1869,1652,1497,-,-
광주광역시,애경아름주유소,광주 광산구 손재로 25,GS칼텍스,062-961-5149,Y,1897,1653,1493,1500,-
광주광역시,해피주유소,광주 광산구 건재로 761,S-OIL,062-943-0227,N,-,1657,1497,-,-
광주광역시,(주)돼지꿈주유소(H),광주 광산구 동곡로 839,HD현대오일뱅크,062-941-1072,Y,-,1657,1514,-,-
광주광역시,남선석유(주) 동곡주유소,광주 광산구 동곡로 171,S-OIL,062-943-1233,N,-,1657,1507,-,-
광주광역시,대천주유소,광주 광산구 용진로 599,S-OIL,062-944-7171,N,-,1659,1519,-,-
광주광역시,푸른솔주유소,광주광역시 광산구 고봉로 905 (광산동),S-OIL,062-959-5155,N,-,1659,1519,-,-
광주광역시,장덕셀프주유소,광주 광산구 왕버들로 59,HD현대오일뱅크,062-951-5121,Y,1899,1659,1529,-,-
광주광역시,하남농협주유소,광주 광산구 용아로 445,SK에너지,062-951-5183,Y,-,1659,1519,1350,-
광주광역시,(주)명진주유소,광주 광산구 용아로 419,GS칼텍스,062-953-6772,Y,1889,1659,1519,-,-
광주광역시,고룡셀프주유소,광주 광산구 임곡로 359,SK에너지,062-710-0515,Y,-,1659,1519,-,-
광주광역시,진영주유소,광주 광산구 송도로 292 (송정동),SK에너지,062-942-5189,N,-,1659,1529,-,-
광주광역시,(주)대각주유소,광주 광산구 용아로 143 (소촌동),GS칼텍스,062-712-3280,Y,1889,1659,1519,1680,-
광주광역시,(주)명당주유소,광주 광산구 사암로 865 (도천동),S-OIL,062-955-5195,N,-,1665,1524,-,-
광주광역시,(주)대창석유직영 공단주유소,광주 광산구 사암로 800 (도천동),SK에너지,062-951-6008,N,-,1665,1524,1400,-
광주광역시,광주주유소,광주 광산구 동곡로 422,S-OIL,062-941-6101,N,-,1665,1525,-,-
광주광역시,실크로드주유소,광주 광산구 사암로 866,SK에너지,062-953-7253,N,-,1665,1524,-,-
광주광역시,한백석유 첨단주유소(SK),광주 광산구 첨단과기로 53 (비아동),S-OIL,062-974-0700,Y,1937,1667,1527,-,-
광주광역시,(주)에이치에스에너지 장수주유소,광주 광산구 고봉로 239 (장수동),GS칼텍스,062-955-1511,N,1889,1668,1539,1350,-
광주광역시,내트럭(주) 광주평동사업소,광주 광산구 평동산단9번로 145,SK에너지,062-451-6301,N,-,1669,1499,-,-
광주광역시,이칠주유소,광주 광산구 상무대로 378,SK에너지,062-942-2007,Y,-,1669,1539,1300,-
광주광역시,(유)천진주유소,광주 광산구 연산로 239,SK에너지,062-945-7101,Y,-,1669,1519,-,-
광주광역시,프라임주유소,광주 광산구 목련로 216 (운남동),S-OIL,062-956-5166,Y,-,1669,1529,-,-
광주광역시,(주)무진대로주유소,광주 광산구 무진대로 80,S-OIL,062-943-5600,Y,-,1669,1519,-,-
광주광역시,㈜마이웨이8번가,광주 광산구 사암로 754,HD현대오일뱅크,062-954-0522,N,1917,1675,1524,-,-
광주광역시,보훈주유소,광주 광산구 첨단봉산안길 102,S-OIL,062-234-3700,Y,-,1675,1545,-,-
광주광역시,광장주유소(s),광주 광산구 북문대로 907 (비아동),S-OIL,062-954-5145,N,-,1678,1548,-,-
광주광역시,전송주유소,광주 광산구 어등대로 583,SK에너지,062-941-4466,Y,-,1679,1519,1500,-
광주광역시,HD현대오일뱅크㈜직영 비아도천주유소,광주 광산구 사암로 841 (도천동),HD현대오일뱅크,062-953-0606,N,-,1689,1539,-,-
광주광역시,CJ대한통운㈜ 신세계주유소,광주 광산구 사암로 660 (장덕동),S-OIL,062-952-1188,N,-,1689,1549,-,-
광주광역시,HD현대오일뱅크㈜직영 성현주유소,광주 광산구 손재로 415 (오선동),HD현대오일뱅크,062-955-8251,N,-,1699,1559,-,-
광주광역시,지에스칼텍스(주)어등산상주유소,광주 광산구 무진대로 125 (소촌동),GS칼텍스,062-941-5181,Y,-,1699,1489,-,-
광주광역시,송촌주유소,광주 광산구 동곡로 656,자가상표,062-944-5188,N,-,1699,1539,-,-
광주광역시,슈퍼크린주유소(s),광주 광산구 상무대로 372 (신촌동),S-OIL,062-943-5121,N,-,1699,1599,-,-
광주광역시,신광주셀프주유소,광주 광산구 목련로 372-8 (신가동),S-OIL,062-954-5151,Y,-,1699,1549,-,-
광주광역시,(주)초당산업 송초주유소,광주 광산구 금동학동길 315 (덕림동),S-OIL,062-942-6362,N,-,1700,1600,1400,-
광주광역시,채움주유소,광주 광산구 사암로 820,S-OIL,062-962-5121,N,-,1705,1559,1400,-
광주광역시,동일주유소,광주 광산구  동곡로 450 (월전동),GS칼텍스,062-943-5123,Y,-,1717,1527,-,-
광주광역시,만선주유소,광주 광산구 임곡로 795 (도천동),SK에너지,062-954-5181,N,-,1725,1625,1568,-
광주광역시,하남현대주유소(H),광주 광산구 임곡로 573 (안청동),HD현대오일뱅크,062-953-5149,N,-,1728,1598,-,-
광주광역시,SK에너지(주) 태양셀프주유소,광주 광산구 용아로 330,SK에너지,062-952-6051,Y,1878,1739,1619,-,-
광주광역시,서강주유소,광주 광산구 목련로 250,SK에너지,062-951-5149,N,-,1739,1629,1600,-
광주광역시,성진주유소,광주 광산구 용아로 356 (산정동),GS칼텍스,062-955-5189,N,-,1767,1667,1550,-
광주광역시,굿모닝주유소,광주 광산구 북문대로 389 (신창동),SK에너지,062-956-1116,Y,-,-,-,-,-
광주광역시,송암B주유소,광주 남구 서문대로 483,HD현대오일뱅크,062-675-6048,Y,-,1610,1470,-,-
광주광역시,삼거리주유소,광주 남구 서문대로 781,HD현대오일뱅크,062-654-5151,Y,1879,1619,1489,-,-
광주광역시,(주)대창석유직영 남광주주유소,광주 남구 서문대로 799 주월동),SK에너지,062-671-5145,Y,1865,1619,1489,1400,-
광주광역시,무지개self주유소,광주 남구 독립로 24 (백운동),SK에너지,062-651-5152,Y,1859,1619,1479,-,-
광주광역시,행복가득효천주유소,광주 남구 서문대로 37 (이장동),SK에너지,062-716-1666,Y,-,1625,1485,-,-
광주광역시,늘푸른주유소,광주 남구 독립로 69 (백운동),S-OIL,062-416-7300,Y,-,1625,1485,1380,-
광주광역시,더풍전㈜ 월드컵주유소,광주 남구 금화로 412,SK에너지,062-351-5189,Y,1897,1627,1523,-,-
광주광역시,독립로주유소,광주 남구 독립로 143,알뜰주유소,062-363-5189,Y,-,1629,1499,-,-
광주광역시,서양새마을금고주유소,광주 남구 독립로 140 (월산동),HD현대오일뱅크,062-720-2800,Y,1879,1629,1499,-,-
광주광역시,대동주유소 ㈜유신산업,광주 남구 대남대로 153,HD현대오일뱅크,062-671-6181,Y,-,1635,1505,-,-
광주광역시,신성에너지송암공단주유소,광주 남구 송암로 49 (송하동),GS칼텍스,062-671-9800,N,-,1635,1495,-,-
광주광역시,(주)온누리주유소,광주 남구 금화로 407 (월산동),GS칼텍스,062-368-6364,Y,1897,1635,1513,-,-
광주광역시,미래주유소,광주 남구 금화로 380 (주월동),GS칼텍스,062-364-5188,N,1899,1639,1525,-,-
광주광역시,효천주유소,광주 남구 서문대로 321 (임암동),SK에너지,062-674-2023,N,-,1639,1497,1490,-
광주광역시,남선석유(주)빛고을주유소,광주 남구 서문대로 42,S-OIL,062-710-5189,Y,-,1639,1484,-,-
광주광역시,효천산업주유소,광주 남구 서문대로 329 (임암동),S-OIL,062-223-7350,Y,-,1639,1539,-,-
광주광역시,대원주유소,광주 남구 대남대로 329 (월산동),S-OIL,062-368-5189,Y,1899,1645,1525,1500,-
광주광역시,주식회사 풍암주유소,광주 남구 회재로 1208,GS칼텍스,062-716-6364,Y,1895,1645,1515,-,-
광주광역시,새론주유소,광주 남구 대남대로 347,S-OIL,062-362-5151,Y,-,1645,1525,-,-
광주광역시,화력주유소,광주 남구 회재로 338,GS칼텍스,062-373-8262,N,-,1649,1529,1400,-
광주광역시,대촌주유소,광주 남구 고싸움로 169,S-OIL,062-374-6565,Y,-,1649,1519,-,-
광주광역시,대촌(상)주유소,광주 남구 회재로 206 (지석동),S-OIL,062-374-6565,N,-,1649,1519,1400,-
광주광역시,지에스칼텍스㈜ 21세기주유소,광주 남구 서문대로 697,GS칼텍스,062-675-5150,Y,1859,1659,1559,-,-
광주광역시,대남로주유소,광주 남구  대남대로 399,SK에너지,062-362-5145,Y,-,1665,1525,-,-
광주광역시,양촌주유소,광주 남구 포충로 121 (양촌동),SK에너지,062-374-3389,N,-,1759,1569,1400,-
광주광역시,구도일주유소월드컵,광주 남구 회재로 1190 (주월동),S-OIL,062-651-6585,Y,-,1779,1619,-,-
광주광역시,㈜아승주유소,광주 동구 필문대로153번길 3,SK에너지,010-3605-3041,Y,-,1623,1483,-,-
광주광역시,(주)반디석유 산수점,광주 동구 필문대로 164,HD현대오일뱅크,062-524-8301,N,1780,1625,1485,-,-
광주광역시,(주)대창석유직영 지산주유소,광주 동구 필문대로 219 (지산동),SK에너지,062-227-3334,Y,1845,1625,1499,1400,-
광주광역시,(주)대창석유직영 동명주유소,광주 동구 필문대로 237 (동명동),SK에너지,062-234-8851,N,-,1629,1499,-,-
광주광역시,삼영아름주유소,광주 동구 남문로 523 (용산동),GS칼텍스,062-234-3050,Y,-,1659,1537,1500,-
광주광역시,주남셀프주유소,광주 동구 남문로 350,HD현대오일뱅크,000-000-0000,Y,1949,1669,1539,-,-
광주광역시,HD현대오일뱅크㈜직영 학운IC주유소,광주 동구 의재로 111 (운림동),HD현대오일뱅크,062-224-8708,N,1909,1699,1562,-,-
광주광역시,솔바우주유소,광주 동구 남계길 4 (내남동),S-OIL,062-222-5192,Y,-,1729,1559,-,-
광주광역시,(유)착한주유소,광주 북구 동문대로 452 (장등동),알뜰주유소,062-266-1181,Y,-,1605,1469,-,-
광주광역시,광주주유소,광주 북구 빛고을대로 825,HD현대오일뱅크,062-575-5116,Y,1834,1613,1473,-,-
광주광역시,동림주유소,광주 북구 북문대로 257,HD현대오일뱅크,062-511-5155,Y,-,1615,1485,-,-
광주광역시,행복가득주유소,광주 북구 우치로 952(용전동),SK에너지,062-576-5185,Y,-,1615,1485,-,-
광주광역시,무지개주유소 경훈에너지,광주 북구 서하로 237 (오치동),알뜰주유소,010-7212-7722,Y,-,1619,1489,1320,-
광주광역시,㈜스피드에너지,광주 북구 빛고을대로 849,S-OIL,062-575-2718,Y,-,1619,1487,-,-
광주광역시,(주)엠앤지 첨단북광주IC주유소,광주광역시 북구 삼소로 318,SK에너지,062-575-5145,Y,1865,1619,1489,-,-
광주광역시,박물관주유소,광주 북구 하서로 211,HD현대오일뱅크,062-573-5181,Y,1812,1622,1492,-,-
광주광역시,(주)아승클린주유소,광주 북구 우치로 170 (용봉동),SK에너지,062-268-1215,Y,-,1622,1492,-,-
광주광역시,마트몰㈜ 더믿음가득주유소,광주 북구 하남대로 777,SK에너지,062-528-5189,Y,-,1623,1483,-,-
광주광역시,성실주유소,광주 북구 우치로 347 (삼각동),SK에너지,062-262-6051,Y,-,1624,1494,-,-
광주광역시,자모셀프주유소,광주 북구 우치로 7,SK에너지,062-513-9951,Y,-,1624,1492,-,-
광주광역시,삼각그린주유소 ㈜오림이사,광주 북구 설죽로 421,SK에너지,062-576-0051,Y,1829,1624,1492,-,-
광주광역시,오치한전주유소,광주 북구 천지인로 91 (오치동),SK에너지,070-8836-5051,Y,-,1624,1494,-,-
광주광역시,(주)스피드주유소,광주 북구  설죽로 226,자가상표,070-4337-2897,N,-,1624,1494,-,-
광주광역시,(유)플러스주유소,광주 북구  설죽로 408,HD현대오일뱅크,062-573-5188,Y,-,1624,1494,-,-
광주광역시,(주)한일주유소,광주 북구 하서로 225,GS칼텍스,062-576-5151,N,1778,1625,1495,-,-
광주광역시,동부에너지주유소,광주 북구 하서로 571 (본촌동),SK에너지,062-576-5182,Y,-,1625,1499,1350,-
광주광역시,(주)일곡우리주유소,광주 북구 우치로 595 (일곡동),HD현대오일뱅크,062-268-8951,Y,-,1625,1495,-,-
광주광역시,(주)대창석유직영 운암주유소,광주 북구 북문대로 34 (운암동),SK에너지,062-525-0716,Y,1845,1625,1499,-,-
광주광역시,차나라주유소,광주 북구 동문대로 138,HD현대오일뱅크,062-265-1144,Y,1935,1625,1485,-,-
광주광역시,용전IC주유소,광주 북구 우치로 842 (용전동),GS칼텍스,062-574-5224,Y,-,1625,1495,-,-
광주광역시,(주)반디석유,광주 북구 하남대로 819 (운암동),HD현대오일뱅크,062-523-8301,N,1780,1625,1485,-,-
광주광역시,남선석유㈜ 서방셀프주유소,광주 북구 서암대로 323 (우산동),S-OIL,062-522-1930,Y,-,1631,1491,-,-
광주광역시,서광주IC주유소,광주 북구 하서로 47 (운암동),S-OIL,062-514-1372,Y,-,1635,1492,-,-
광주광역시,북광주IC주유소,광주 북구 하서로 678 (지야동),HD현대오일뱅크,062-572-9800,Y,-,1639,1519,-,-
광주광역시,지에스칼텍스(주)용봉천주유소,광주 북구 설죽로 183 (용봉동),GS칼텍스,062-529-5192,Y,1859,1639,1535,-,-
광주광역시,빛고을로셀프주유소,광주 북구 빛고을대로 657 (용두동),HD현대오일뱅크,062-574-3303,Y,-,1639,1515,-,-
광주광역시,서림주유소,광주 북구 무등로 126 (신안동),GS칼텍스,062-522-5189,Y,-,1645,1525,1500,-
광주광역시,전대주유소,광주 북구 무등로 165 (신안동),GS칼텍스,062-527-8660,Y,1925,1645,1499,-,-
광주광역시,신용구도일주유소,광주 북구 임방울대로 953,S-OIL,062-576-5200,Y,1865,1645,1495,-,-
광주광역시,신용주유소,광주 북구 임방울대로 959 (신용동),GS칼텍스,062-573-5189,Y,1865,1645,1495,-,-
광주광역시,첨단용두주유소,광주 북구  빛고을대로 663,GS칼텍스,062-572-5189,Y,-,1645,1495,-,-
광주광역시,용전주유소,광주 북구 우치로 809,S-OIL,062-576-5189,Y,-,1648,1518,-,-
광주광역시,㈜에코주유소,광주 북구 무등로 213,S-OIL,062-521-5189,Y,-,1649,1499,-,-
광주광역시,SK에너지㈜ 보람주유소,광주 북구 용봉로 24 (신안동),SK에너지,062-524-7700,Y,-,1649,1489,-,-
광주광역시,지에스칼텍스(주)클릭주유소,광주 북구 하남대로 743 (운암동),GS칼텍스,062-521-5152,Y,1879,1649,1499,-,-
광주광역시,(주)케이피유통(본촌주유소),광주 북구 하서로 530 (본촌동),GS칼텍스,062-572-1600,Y,-,1649,1509,-,-
광주광역시,테크노파크주유소,광주 북구 삼소로 307 (월출동),HD현대오일뱅크,062-574-5199,N,-,1649,1519,1500,-
광주광역시,망월주유소,광주 북구 동문대로 603 (망월동),S-OIL,062-266-8877,Y,-,1650,1520,-,-
광주광역시,매곡주유소,광주 북구 서하로 86 (매곡동),HD현대오일뱅크,062-576-9393,N,-,1655,1525,-,-
광주광역시,㈜마니에셋 독도사랑주유소11,광주 북구 경열로 257(신안동),자가상표,062-000-0000,N,-,1655,1510,-,-
광주광역시,패밀리셀프주유소,광주 북구 우치로 670,SK에너지,062-571-5050,Y,-,1658,1528,-,-
광주광역시,천보주유소,광주 북구 우치로 812 (용전동),S-OIL,062-571-9777,N,-,1659,1529,-,-
광주광역시,동문주유소,광주 북구 서하로 468,S-OIL,062-266-5185,Y,-,1659,1519,1400,-
광주광역시,도동재주유소,광주 북구 동문대로 410,S-OIL,062-251-8536,N,-,1668,1548,-,-
광주광역시,코끼리주유소,광주 북구 서하로 77,SK에너지,062-573-1256,N,-,1668,1538,-,-
광주광역시,지산주유소,광주 북구 양산택지로 157,S-OIL,062-571-7012,N,-,1669,1519,-,-
광주광역시,HD현대오일뱅크(주)직영 동천마을셀프주유소,광주 북구 하남대로 691 (동림동),HD현대오일뱅크,062-511-5106,Y,2009,1669,1559,-,-
광주광역시,세본주유소,광주 북구 용주로 21,SK에너지,062-526-5818,Y,-,1689,1559,1500,-
광주광역시,두암주유소,광주 북구 군왕로 103 (두암동),S-OIL,062-266-7766,Y,-,1699,1589,-,-
광주광역시,주공주유소,광주 북구 북문대로 190 (운암동),GS칼텍스,062-514-9988,N,-,1699,1579,1500,-
광주광역시,SK에너지㈜ 고려셀프주유소,광주 북구 설죽로 398 (삼각동),SK에너지,062-263-2228,Y,1840,1717,1599,1500,-
광주광역시,SK에너지(주) 문흥셀프주유소,광주 북구 서하로 286 (오치동),SK에너지,062-267-5145,Y,1878,1717,1599,-,-
광주광역시,SK에너지(주)직영 경기장주유소,광주 북구 무등로 76 (임동),SK에너지,062-521-8838,Y,-,1725,1609,-,-
광주광역시,일곡주유소,광주 북구 우치로422번길 22 (삼각동),S-OIL,062-573-6005,N,-,1729,1599,-,-
광주광역시,광주화물터미널(주),광주 북구 동문대로 280,SK에너지,062-261-2514,N,-,1729,1729,1700,-
광주광역시,세오(주)직영 미래주유소,광주 북구 임방울대로 979 (신용동),SK에너지,062-571-7100,N,-,1729,1579,1695,-
광주광역시,HD현대오일뱅크㈜직영 양산주유소,광주 북구 하서로 255 (양산동),HD현대오일뱅크,062-571-5189,N,1859,1734,1542,1550,-
광주광역시,SK에너지(주) 으뜸주유소,광주 북구 군왕로 177 (두암동),SK에너지,062-269-5151,Y,1878,1739,1619,-,-
광주광역시,(주)안국에너지 우신주유소,광주 북구 동문대로 218 (각화동),SK에너지,062-261-8666,N,1929,1748,1648,-,-
광주광역시,북성주유소,광주 북구 금남로 49 (임동),GS칼텍스,062-521-7878,N,-,1750,1650,1600,-
광주광역시,(주)대원 강변주유소,광주 서구 천변좌하로 142 (치평동),S-OIL,062-941-7319,Y,1780,1610,1470,1500,-
광주광역시,반디석유시청점,광주 서구 천변좌하로 160 (치평동),HD현대오일뱅크,062-372-5250,N,1780,1610,1470,-,-
광주광역시,벽진주유소,광주 서구 상무대로 616,알뜰주유소,062-945-5118,Y,-,1622,1482,-,-
광주광역시,돌고개주유소,광주 서구 경열로 54 (농성동),HD현대오일뱅크,062-368-5557,Y,-,1624,1489,-,-
광주광역시,(유)안전에너지 백일셀프주유소,광주 서구 화정로 68,HD현대오일뱅크,062-371-5192,Y,-,1629,1489,-,-
광주광역시,부일주유소,광주 서구 상무대로 933,S-OIL,062-943-5179,Y,1865,1634,1495,1400,-
광주광역시,우리셀프주유소,광주 서구 죽봉대로 24 (농성동),S-OIL,062-361-4505,Y,1865,1634,1495,-,-
광주광역시,(주)대창석유직영 염주주유소,광주 서구 월드컵4강로 120,SK에너지,062-376-5151,N,-,1635,1525,1400,-
광주광역시,운천주유소,광주 서구 상무대로 758,HD현대오일뱅크,062-383-5182,Y,-,1638,1498,-,-
광주광역시,서창동화주유소,광주 서구 회재로 490,SK에너지,062-374-5182,N,-,1639,1519,-,-
광주광역시,대광주유소,광주 서구 하남대로 556 (동천동),GS칼텍스,062-512-0022,Y,-,1639,1519,1600,-
광주광역시,서광주역주유소(SK),광주 서구 풍서우로 152,SK에너지,062-373-0051,Y,-,1645,1525,-,-
광주광역시,상무주유소,광주 서구 풍서우로 408,GS칼텍스,062-372-6364,Y,1955,1645,1505,-,-
광주광역시,HD현대오일뱅크㈜직영 공항가는길주유소,광주 서구 상무대로 699 (마륵동),HD현대오일뱅크,062-372-5189,N,1979,1648,1572,1450,-
광주광역시,시민주유소,광주 서구 눌재로 328,GS칼텍스,062-374-5189,Y,-,1648,1528,1500,-
광주광역시,한강주유소,광주 서구 천변좌로 6 (광천동),GS칼텍스,062-369-3167,Y,-,1655,1506,1500,-
광주광역시,영광주유소,광주 서구 풍서우로 128(매월동),S-OIL,062-671-5151,Y,-,1660,1535,-,-
